publisher,isbn10,isbn13,title,language,pub_year,book_id,authors,genre_list,img_url,description
Crown Archetype,0804138141,9780804138147,Why Not Me?,,2015,22716447,Mindy Kaling,"Autobiography,Humor,Funny,Writing,Non Fiction,Essays,Memoir,Biography,Adult",https://d.gr-assets.com/books/1442548684l/22716447.jpg,"From the author of the beloved New York Times bestselling book Is Everyone Hanging Out Without Me? and the creator and star of The Mindy Project comes a collection of essays that are as hilarious and insightful as they are deeply personal.In Why Not Me?, Kaling shares her ongoing journey to find contentment and excitement in her adult life, whether it’s falling in love atFrom the author of the beloved New York Times bestselling book Is Everyone Hanging Out Without Me? and the creator and star of The Mindy Project comes a collection of essays that are as hilarious and insightful as they are deeply personal.In Why Not Me?, Kaling shares her ongoing journey to find contentment and excitement in her adult life, whether it’s falling in love at work, seeking new friendships in lonely places, attempting to be the first person in history to lose weight without any behavior modification whatsoever, or most important, believing that you have a place in Hollywood when you’re constantly reminded that no one looks like you.In “How to Look Spectacular: A Starlet’s Confessions,” Kaling gives her tongue-in-cheek secrets for surefire on-camera beauty, (“Your natural hair color may be appropriate for your skin tone, but this isn’t the land of appropriate–this is Hollywood, baby. Out here, a dark-skinned woman’s traditional hair color is honey blonde.”) “Player” tells the story of Kaling being seduced and dumped by a female friend in L.A. (“I had been replaced by a younger model. And now they had matching bangs.”) In “Unlikely Leading Lady,” she muses on America’s fixation with the weight of actresses, (“Most women we see onscreen are either so thin that they’re walking clavicles or so huge that their only scenes involve them breaking furniture.”) And in “Soup Snakes,” Kaling spills some secrets on her relationship with her ex-boyfriend and close friend, B.J. Novak (“I will freely admit: my relationship with B.J. Novak is weird as hell.”)Mindy turns the anxieties, the glamour, and the celebrations of her second coming-of-age into a laugh-out-loud funny collection of essays that anyone who’s ever been at a turning point in their life or career can relate to. And those who’ve never been at a turning point can skip to the parts where she talks about meeting Bradley Cooper."
Allen Lane,0713999640,9780713999648,The Taste Of War: World War Two And The Battle For Food,,2011,10234229,Lizzie Collingham,"World War II,Food And Drink,Food,Economics,France,Cultural,Germany,American History,Japan,Russia,Non Fiction,History",https://d.gr-assets.com/books/1328048171l/10234229.jpg,"Shows how control of food and its production is crucial to total war. Tracing the interaction between food and strategy, on both the military and home fronts, this title demonstrates how the issue of access to food was a driving force within Nazi policy and contributed to the decision to murder hundreds of thousands of 'useless eaters' in Europe."
Tantor Media,1400101255,9781400101252,Little Women,,2005,1945,"John Matteson,Louisa May Alcott,Rebecca Burns","Young Adult,Childrens,Novels,Classic Literature,Fiction,Romance,Literature,Historical,Historical Fiction,Classics",https://d.gr-assets.com/books/1384259909l/1945.jpg,"Little Women is the story of a wife and her four daughters living in genteel poverty in the environs of Boston while the father is away as a chaplain in the Union Army during the Civil War.So natural are the actions and dialogue of the charming Meg, Jo, Beth & Amy - that even today ""Little Women"" is readable without a sense of Victorian stiffness."
Penguin Press,1594206279,9781594206276,Modern Romance,,2015,23453112,"Aziz Ansari,Eric Klinenberg","Funny,Sociology,Humor,Psychology,Romance,Adult,Comedy,Non Fiction",https://d.gr-assets.com/books/1432335014l/23453112.jpg,"Now a New York Times BestsellerA hilarious, thoughtful, and in-depth exploration of thepleasures and perils of modern romance from one of this generation’s sharpest comedic voicesAt some point, every one of us embarks on ajourney to find love. We meet people, date, getinto and out of relationships, all with the hopeof finding someone with whom we share a deepconnection. ThNow a New York Times BestsellerA hilarious, thoughtful, and in-depth exploration of thepleasures and perils of modern romance from one of this generation’s sharpest comedic voicesAt some point, every one of us embarks on ajourney to find love. We meet people, date, getinto and out of relationships, all with the hopeof finding someone with whom we share a deepconnection. This seems standard now, but it’swildly different from what people did even justdecades ago. Single people today have moreromantic options than at any point in humanhistory. With technology, our abilities to connectwith and sort through these options are staggering.So why are so many people frustrated?Some of our problems are unique to our time.“Why did this guy just text me an emoji of a pizza?”“Should I go out with this girl even though shelisted Combos as one of her favorite snack foods?Combos?!” “My girlfriend just got a message fromsome dude named Nathan. Who’s Nathan? Did hejust send her a photo of his penis? Should I checkjust to be sure?”But the transformation of our romantic livescan’t be explained by technology alone. In a shortperiod of time, the whole culture of finding lovehas changed dramatically. A few decades ago,people would find a decent person who lived intheir neighborhood. Their families would meetand, after deciding neither party seemed like amurderer, they would get married and soon havea kid, all by the time they were twenty-four. Today,people marry later than ever and spend years oftheir lives on a quest to find the perfect person, asoul mate.For years, Aziz Ansari has been aiming hiscomic insight at modern romance, but for ModernRomance, the book, he decided he needed to takethings to another level. He teamed up with NYUsociologist Eric Klinenberg and designed a massiveresearch project, including hundreds of interviewsand focus groups conducted everywhere fromTokyo to Buenos Aires to Wichita. They analyzedbehavioral data and surveys and created their ownonline research forum on Reddit, which drewthousands of messages. They enlisted the world’sleading social scientists, including Andrew Cherlin, Eli Finkel, HelenFisher, Sheena Iyengar, Barry Schwartz, SherryTurkle, and Robb Willer. The result is unlike anysocial science or humor book we’ve seen before.In Modern Romance, Ansari combines hisirreverent humor with cutting-edge social scienceto give us an unforgettable tour of our newromantic world."
Spiegel ,0812993543,9780812993547,Between the World and Me,,2015,25489625,Ta-Nehisi Coates,"Autobiography,Biography Memoir,Social Justice,African American,Writing,Cultural,Race,Biography,Politics,Essays,Social Movements,Memoir,Non Fiction,History",https://d.gr-assets.com/books/1430883288l/25489625.jpg,"“This is your country, this is your world, this is your body, and you must find some way to live within the all of it.”In a profound work that pivots from the biggest questions about American history and ideals to the most intimate concerns of a father for his son, Ta-Nehisi Coates offers a powerful new framework for understanding our nation’s history and current crisis. A“This is your country, this is your world, this is your body, and you must find some way to live within the all of it.”In a profound work that pivots from the biggest questions about American history and ideals to the most intimate concerns of a father for his son, Ta-Nehisi Coates offers a powerful new framework for understanding our nation’s history and current crisis. Americans have built an empire on the idea of “race,” a falsehood that damages us all but falls most heavily on the bodies of black women and men—bodies exploited through slavery and segregation, and, today, threatened, locked up, and murdered out of all proportion. What is it like to inhabit a black body and find a way to live within it? And how can we all honestly reckon with this fraught history and free ourselves from its burden? Between the World and Me is Ta-Nehisi Coates’s attempt to answer these questions in a letter to his adolescent son. Coates shares with his son—and readers—the story of his awakening to the truth about his place in the world through a series of revelatory experiences, from Howard University to Civil War battlefields, from the South Side of Chicago to Paris, from his childhood home to the living rooms of mothers whose children’s lives were taken as American plunder. Beautifully woven from personal narrative, reimagined history, and fresh, emotionally charged reportage, Between the World and Me clearly illuminates the past, bracingly confronts our present, and offers a transcendent vision for a way forward."
Da Capo Press,0306809583,9780306809583,The Bunker,,2001,198036,James P. O'Donnell,"World War II,War,Non Fiction,History",https://d.gr-assets.com/books/1389504526l/198036.jpg,"Here is an unforgettable, graphic account of the final days in the Führer's headquarters, deep under the shattered city of Berlin as World War II in Europe drew to a close. From James P. O'Donnell's interviews with fifty eyewitnesses to the madness and carnage—everyone from Albert Speer to generals, staff officers, doctors, Hitler's personal pilot, telephone operators, andHere is an unforgettable, graphic account of the final days in the Führer's headquarters, deep under the shattered city of Berlin as World War II in Europe drew to a close. From James P. O'Donnell's interviews with fifty eyewitnesses to the madness and carnage—everyone from Albert Speer to generals, staff officers, doctors, Hitler's personal pilot, telephone operators, and secretaries—emerges an account that historian Theodore H. White has hailed as ""superb . . . quite simply the most accurate and terrifying account of the nightmare and its end I have ever read."""
Oxford Paperbacks,0195079035,9780195079036,"Hitler's Army: Soldiers, Nazis, and War in the Third Reich",,1992,54271,Omer Bartov,"World War II,Military History,European History,Holocaust,Academic,Cultural,Germany,Read For School,Military,War,Non Fiction,History",https://d.gr-assets.com/books/1342966784l/54271.jpg,Harvard University Junior Fellow Omer Bartov delivers a detailed account of how Nazism penetrated the German Army during World War II. Bartov focuses on the barbaric struggle between Germany and the Soviet Union--where the vast majority of German troops fought--to show how the savagery of war reshaped the army into Hitler's image.
Papermac,0333642619,9780333642610,The Last Days of Hitler,,1995,945011,Hugh Trevor-Roper,"World War II,Military History,Holocaust,Cultural,Germany,Non Fiction,Historical,Military,War,Biography,History",https://d.gr-assets.com/books/1179681876l/945011.jpg,"In September 1945, the fate of Hitler was a complete mystery. He had simply disappeared, missing for four months. The author, a British counter-intelligence officer, was given the task of solving this mystery. His brilliant piece of detective work not only proved that Hitler had killed himself in Berlin, but also produced one of the most fascinating history books ever writIn September 1945, the fate of Hitler was a complete mystery. He had simply disappeared, missing for four months. The author, a British counter-intelligence officer, was given the task of solving this mystery. His brilliant piece of detective work not only proved that Hitler had killed himself in Berlin, but also produced one of the most fascinating history books ever written. His book tells the extraordinary story of those last days in the Berlin Bunker. The New Statesman has called this book ""incomparableby far the best written on any aspect of the second German war-a book sound in scholarship, brilliant in its presentation."" Chapters include: Hitler & his court. Hitler in defeat. The court in defeat. Crisis & decision. Siege of the Bunker. Et Tu Brute. Death of Hitler. Epilogue. Notes on sources. Index."
Basic Books,0465003370,9780465003372,After the Reich: The Brutal History of the Allied Occupation,,2007,852167,Giles MacDonogh,"World War II,Military History,European History,Cultural,Germany,American History,Politics,Military,War,Non Fiction,History",https://d.gr-assets.com/books/1414854897l/852167.jpg,"When the Third Reich collapsed in 1945, the Allied powers converged on Germany and divided it into four zones of occupation. A nation in tatters, in many places literally flattened by bombs, was suddenly subjected to brutal occupation by vengeful victors. Rape was rampant. Hundreds of thousands of Germans and German-speakers died in the course of brutal deportations from EWhen the Third Reich collapsed in 1945, the Allied powers converged on Germany and divided it into four zones of occupation. A nation in tatters, in many places literally flattened by bombs, was suddenly subjected to brutal occupation by vengeful victors. Rape was rampant. Hundreds of thousands of Germans and German-speakers died in the course of brutal deportations from Eastern Europe. By the end of the year, Germany was literally starving to death. Over a million German prisoners of war died in captivity, where they were subjected to inadequate rations and often tortured. All told, an astounding 2.25 million German civilians died violent deaths in the period between the liberation of Vienna and the Berlin airlift. A shocking account of a massive and vicious military occupation, After the Reich offers a bold reframing of the history of World War II and its aftermath. Historian Giles MacDonogh has unearthed a record of brutality which has been largely ignored by historians or, worse, justified as legitimate retaliation for the horror of the Holocaust. Drawing on a vast array of contemporary firstperson accounts, MacDonogh has finally given a voice to tens of millions of civilians who, lucky to survive the war, found themselves struggling to survive a hellish peace."
Basic Books,0465049052,9780465049059,The Nazi Doctors: Medical Killing and the Psychology of Genocide,,1986,173187,Robert Jay Lifton,"Literature,World War II,Psychology,Jewish,Science,Medical,Holocaust,Health,Medicine,War,Non Fiction,History",https://d.gr-assets.com/books/1333754345l/173187.jpg,"Nazi doctors did more than conduct bizarre experiments on concentration-camp inmates; they supervised the entire process of medical mass murder, from selecting those who were to be exterminated to disposing of corpses. Lifton (The Broken Connection; The Life of the Self shows that this medically supervised killing was done in the name of ""healing,"" as part of a racist progNazi doctors did more than conduct bizarre experiments on concentration-camp inmates; they supervised the entire process of medical mass murder, from selecting those who were to be exterminated to disposing of corpses. Lifton (The Broken Connection; The Life of the Self shows that this medically supervised killing was done in the name of ""healing,"" as part of a racist program to cleanse the Aryan body politic. After the German eugenics campaign of the 1920s for forced sterilization of the ""unfit,"" it was but one step to ""euthanasia,"" which in the Nazi context meant systematic murder of Jews. Building on interviews with former Nazi physicians and their prisoners, Lifton presents a disturbing portrait of careerists who killed to overcome feelings of powerlessness. He includes a chapter on Josef Mengele and one on Eduard Wirths, the ""kind, decent"" doctor (as some inmates described him) who set up the Auschwitz death machinery. Lifton also psychoanalyzes the German people, scarred by the devastation of World War I and mystically seeking regeneration. This profound study ranks with the most insightful books on the Holocaust."
Bloomsbury Academic,0340760281,9780340760284,The Nazi Dictatorship: Problems and Perspectives of Interpretation,,2000,143571,Ian Kershaw,"World War II,European History,Holocaust,Cultural,Germany,Politics,Non Fiction,History",https://d.gr-assets.com/books/1315852993l/143571.jpg,"This widely-used text on the Nazi regime explores the complex issues historians face when they interpret the Third Reich. Kershaw expertly synthesizes data and evaluates complex historiography looking at the major themes and debates among scholars about Nazism. Drawing on the findings of a wide range of research, particularly the work of German scholars which has not beenThis widely-used text on the Nazi regime explores the complex issues historians face when they interpret the Third Reich. Kershaw expertly synthesizes data and evaluates complex historiography looking at the major themes and debates among scholars about Nazism. Drawing on the findings of a wide range of research, particularly the work of German scholars which has not been widely available in English editions, he uncovers interpretational problems, outlines the approaches taken by various historians, and provides clear evaluations of their positions.This edition reflects current concerns and fresh research and contains substantial revisions to the chapter on ""Hitler and the Jews"" and an updated survey of recent historical work including Goldhagen's controversial book, Hitler's Willing Executioners."
Harper,0060570830,9780060570835,Kristallnacht: Prelude to Destruction,,2006,191410,Martin Gilbert,"Literature,World War II,Jewish,European History,Holocaust,Historical,War,Non Fiction,History",https://d.gr-assets.com/books/1388555294l/191410.jpg,"On November 7, 1938, a young Jew, enraged by his family's expulsion from Germany, walked into the German embassy in Paris and fired five shots at a junior diplomat. Three days later the diplomat was dead, and Germany was in the grips of skillfully orchestrated anti-Jewish violence.In the early hours of November 10, Nazi storm troopers and Hitler Youth rampaged through JewiOn November 7, 1938, a young Jew, enraged by his family's expulsion from Germany, walked into the German embassy in Paris and fired five shots at a junior diplomat. Three days later the diplomat was dead, and Germany was in the grips of skillfully orchestrated anti-Jewish violence.In the early hours of November 10, Nazi storm troopers and Hitler Youth rampaged through Jewish neighborhoods across Germany, leaving behind them a horrifying trail of terror and destruction. More than a thousand synagogues and many thousands of Jewish shops were destroyed, while thirty thousand Jews were rounded up and sent to concentration camps. This was the moment when deliberately inflamed hatreds ignited nationwide destruction.With rare insight and acumen, Martin Gilbert, one of the leading historians of our time, examines Kristallnacht -- the Night of Broken Glass -- and describes how the rest of the world reacted in its wake. His narration of that night and day of terror is chilling, vividly conveying its scale and intensity through more than fifty previously unpublished eyewitness testimonies and graphic newspaper accounts of the events as they unfolded. No other attack on Jews during the course of the Second World War was as widely reported by contemporary observers.Kristallnacht marked the beginning of the systematic eradication of a people who traced their origins in Germany to Roman times and was a sinister fore-warning of the Holocaust. By setting the tone for the terrible war to follow, it shaped the second half of the twentieth century and continues to haunt us, almost seventy years later. Meticulously researched and masterfully written, this is an eye-opening study of one of the darkest chapters in human history."
